PAIS,ANO,GRUPO_EDITORIAL_COMPLETO,SUBCATEGORIA.DEWEY,IDIOMA.ESTANDARIZADO.COMPLETO,CANTIDAD_REGISTROS
ARGENTINA,2016,!ACHIS!,800 - LITERATURA Y RETÓRICA: GENERAL,ESPAÑOL,2.0
ARGENTINA,2016,!ACHIS!,800 - LITERATURA Y RETÓRICA: GENERAL,ITALIANO,2.0
ARGENTINA,2016,!ACHIS!,800 - LITERATURA Y RETÓRICA: GENERAL,SIN IDENTIFICAR,2.0
ARGENTINA,2016,AIQUE GRUPO EDITOR,800 - LITERATURA Y RETÓRICA: GENERAL,ESPAÑOL,1.0
ARGENTINA,2016,ALCION EDITORA,800 - LITERATURA Y RETÓRICA: GENERAL,MULTILINGÜE,2.0
ARGENTINA,2016,BARCELBAIRES EDICIONES,800 - LITERATURA Y RETÓRICA: GENERAL,ESPAÑOL,3.0
ARGENTINA,2016,BLATT & RIOS,800 - LITERATURA Y RETÓRICA: GENERAL,SIN IDENTIFICAR,1.0
ARGENTINA,2016,BUENA VISTA EDITORES,800 - LITERATURA Y RETÓRICA: GENERAL,ESPAÑOL,1.0
ARGENTINA,2016,BUENOS AIRES POETRY,800 - LITERATURA Y RETÓRICA: GENERAL,ESPAÑOL,1.0
ARGENTINA,2016,BUENOS AIRES POETRY,800 - LITERATURA Y RETÓRICA: GENERAL,MULTILINGÜE,1.0
ARGENTINA,2016,CATAPULTA,800 - LITERATURA Y RETÓRICA: GENERAL,ESPAÑOL,3.0
ARGENTINA,2016,CLARIDAD,800 - LITERATURA Y RETÓRICA: GENERAL,ESPAÑOL,3.0
ARGENTINA,2016,COMUNIDAD PROYECTO DE VIDA,800 - LITERATURA Y RETÓRICA: GENERAL,ESPAÑOL,1.0
ARGENTINA,2016,CORREGIDOR,800 - LITERATURA Y RETÓRICA: GENERAL,ESPAÑOL,3.0
ARGENTINA,2016,CYPRES,800 - LITERATURA Y RETÓRICA: GENERAL,SIN IDENTIFICAR,4.0
ARGENTINA,2016,DEL NUEVO EXTREMO,800 - LITERATURA Y RETÓRICA: GENERAL,ESPAÑOL,4.0
ARGENTINA,2016,DEL NUEVO EXTREMO,800 - LITERATURA Y RETÓRICA: GENERAL,SIN IDENTIFICAR,2.0
ARGENTINA,2016,EDHASA,800 - LITERATURA Y RETÓRICA: GENERAL,ESPAÑOL,3.0
ARGENTINA,2016,EDICIONES B,800 - LITERATURA Y RETÓRICA: GENERAL,ESPAÑOL,14.0
ARGENTINA,2016,EDICIONES B,800 - LITERATURA Y RETÓRICA: GENERAL,SIN IDENTIFICAR,5.0
ARGENTINA,2016,EGODOT ARGENTINA,800 - LITERATURA Y RETÓRICA: GENERAL,ESPAÑOL,2.0
ARGENTINA,2016,EL ATENEO,800 - LITERATURA Y RETÓRICA: GENERAL,ESPAÑOL,3.0
ARGENTINA,2016,EL ATENEO,800 - LITERATURA Y RETÓRICA: GENERAL,PORTUGUÉS,1.0
ARGENTINA,2016,EL ATENEO,800 - LITERATURA Y RETÓRICA: GENERAL,SIN IDENTIFICAR,1.0
ARGENTINA,2016,EL CUENCO DE PLATA,800 - LITERATURA Y RETÓRICA: GENERAL,SIN IDENTIFICAR,1.0
ARGENTINA,2016,EL HILO DE ARIADNA,800 - LITERATURA Y RETÓRICA: GENERAL,ESPAÑOL,2.0
ARGENTINA,2016,ETERNA CADENCIA,800 - LITERATURA Y RETÓRICA: GENERAL,ESPAÑOL,3.0
ARGENTINA,2016,ETERNA CADENCIA,800 - LITERATURA Y RETÓRICA: GENERAL,SIN IDENTIFICAR,1.0
